id,maker,name
1,1,'amc'
2,2,'audi'
3,3,'bmw'
4,4,'buick'
5,4,'cadillac'
6,5,'capri'
7,4,'chevrolet'
8,6,'chrysler'
9,7,'citroen'
10,8,'datsun'
11,6,'dodge'
12,9,'fiat'
13,5,'ford'
14,10,'hi'
15,11,'honda'
16,12,'mazda'
17,13,'mercedes'
18,13,'mercedes-benz'
19,5,'mercury'
20,8,'nissan'
21,4,'oldsmobile'
22,14,'opel'
23,15,'peugeot'
24,6,'plymouth'
25,4,'pontiac'
26,16,'renault'
27,17,'saab'
28,18,'subaru'
29,19,'toyota'
30,20,'triumph'
31,2,'volkswagen'
32,21,'volvo'
33,22,'kia'
34,23,'hyundai'
35,6,'jeep'
36,19,'scion'
